code,Z_score
GM0866,3.21707498791936
GM0867,-2.24820952462116
GM0873,-0.299144269981906
GM0879,-0.983096188174414
GM0880,-5.58212543294161
GM0882,4.94542631348427
GM0888,5.23979267317108
GM0889,3.69294536545511
GM0893,3.49982958886394
GM0899,5.16363433386194
GM0907,2.82058625194964
GM0917,4.94542631348427
GM0928,5.05395298050849
GM0935,5.1576103825655
GM0938,5.0762697608585
GM0944,2.03996663581425
GM0946,3.51188834562236
GM0957,3.5069084449637
GM0965,5.05395298050849
GM0971,4.76579415789542
GM0981,5.31463906930385
GM0983,4.31280284310022
GM0984,4.4126764177128
GM0986,4.70630780212109
GM0988,3.66462361372785
GM0994,4.79235412244122
GM0995,-3.29826974646995
GM1507,5.05353500149064
GM1509,2.65788460203142
GM1525,-5.40061469371769
GM1581,-2.54802071180524
GM1586,1.70414571233405
GM1598,-4.71118587491246
GM1621,-2.97139564509816
GM1640,4.14862327199865
GM1641,3.50705268089732
GM1652,2.36973632019317
GM1655,-1.26356672847562
GM1658,3.9015709014392
GM1659,2.36789869379366
GM1669,4.23918125496117
GM1674,-0.716289437163086
GM1676,-0.834285636430207
GM1680,0.336867607243784
GM1681,0.541040523014661
GM1690,0.538722095073875
GM1695,0.742255757318259
GM1696,-4.50102688818688
GM1699,0.124356568727241
GM1700,1.73071042838358
GM1701,-0.287650451933143
GM1705,0.53767878319335
GM1706,3.88993566751824
GM1708,-1.35788565134905
GM1709,-1.90654161170091
GM1711,4.34309976322663
GM1714,-0.243211375753707
GM1719,-1.25860386083255
GM1721,0.546166851773869
GM1723,-0.666575680886207
GM1724,3.44983388251263
GM1728,2.31148274761477
GM1729,4.79612155171003
GM1730,0.24255301417387
GM1731,-0.416188112391835
GM1734,0.390124890469594
GM1735,1.63933989168108
GM1740,-0.966237966503754
GM1742,1.02811228739729
GM1771,3.3115784643392
GM1773,0.356703165733404
GM1774,0.859038841496308
GM1783,-2.88488237259504
GM1842,-2.43130044763804
GM1859,1.45603677046643
GM1876,0.712110457665076
GM1883,4.53747572767051
GM1884,-4.72254436725602
GM1891,-1.02968750213156
GM1892,-3.09812550986076
GM1894,3.72089490986152
GM1895,1.51750132245458
GM1896,-2.35262258442068
GM1900,-1.92283151242333
GM1901,-3.61967692665845
GM1903,4.57338854071819
GM1904,-4.19226903294598
GM1911,-3.36425952848276
GM1916,-3.80003807911196
GM1924,-1.72600852632352
GM1926,-2.84035064397541
GM1930,-2.60839020183603
GM1931,-3.41866280719992
GM1940,-1.73745149980612
GM1942,-4.64996946507483
GM1945,1.2642916174163
GM1948,1.72108621307493
GM1949,-1.0126103502746
GM1950,1.72865926410674
GM1952,1.43873807973293
GM1954,5.38477414463912
GM1955,1.79453681065808
GM1959,-2.82990708917151
GM1960,-1.73214235799145
GM1961,-2.27804211760263
GM1963,-2.40828470921974
GM1966,1.01667186733315
GM1969,0.431632748179693
GM1970,-0.745990682830013
GM1978,-3.00335045694369
GM1979,1.15065649107289
GM1980,-4.72432196272771
GM1982,2.05554243684171
GM1991,1.46739564510522
