index,code,name,xPos,yPos
244,GM0277,Rozendaal,0.685038725,0.465125899
245,GM0840,Rucphen,0.297309475,0.274531986
246,GM0441,Schagen,0.352526911,0.741078842
247,GM0279,Scherpenzeel,0.558986386,0.483340929
248,GM0606,Schiedam,0.24847622,0.425802379
249,GM0088,Schiermonnikoog,0.738065686,1
250,GM1676,Schouwen-Duiveland,0.127126675,0.334873177
251,GM0965,Simpelveld,0.695480319,0.019455186
252,GM0845,Sint-Michielsgestel,0.519743174,0.321278549
253,GM1883,Sittard-Geleen,0.653282213,0.085132245
254,GM0610,Sliedrecht,0.354374651,0.388269443
255,GM1714,Sluis,0,0.206938612
256,GM0090,Smallingerland,0.70481121,0.862200817
257,GM0342,Soest,0.500249709,0.508039592
258,GM0847,Someren,0.610452967,0.223900854
259,GM0848,Son en Breugel,0.554988628,0.272231058
260,GM0037,Stadskanaal,0.962238781,0.821581451
261,GM0180,Staphorst,0.749690409,0.685635765
262,GM0532,Stede Broec,0.481911067,0.707350197
263,GM0851,Steenbergen,0.22498394,0.30452498
264,GM1708,Steenwijkerland,0.698719422,0.726787711
265,GM0971,Stein (L.),0.631593,0.071733703
266,GM1904,Stichtse Vecht,0.417770567,0.525057372
267,GM1900,Súdwest-Fryslân,0.573588471,0.819169885
268,GM0715,Terneuzen,0.09058383,0.189599594
269,GM0093,Terschelling,0.499557282,0.964732014
270,GM0448,Texel,0.37243679,0.850610654
271,GM1525,Teylingen,0.284799434,0.531328577
272,GM0716,Tholen,0.171381486,0.293971711
273,GM0281,Tiel,0.533032327,0.408449945
274,GM0855,Tilburg,0.436222446,0.297351012
275,GM0183,Tubbergen,0.906176444,0.601764074
276,GM1700,Twenterand,0.867809091,0.614432796
277,GM1730,Tynaarlo,0.842122443,0.862308649
278,GM0737,Tytsjerksteradiel,0.683906562,0.894877329
279,GM0450,Uitgeest,0.348130723,0.643648233
280,GM0451,Uithoorn,0.363519239,0.536816423
281,GM0184,Urk,0.589608529,0.693659305
282,GM0344,Utrecht,0.446184725,0.481242173
283,GM1581,Utrechtse Heuvelrug,0.527961164,0.460568902
284,GM0981,Vaals,0.694680238,0
285,GM0994,Valkenburg aan de Geul,0.64681468,0.030212654
286,GM0858,Valkenswaard,0.545795133,0.199349965
287,GM0047,Veendam,0.927927102,0.851996456
288,GM0345,Veenendaal,0.571376417,0.4585999
289,GM0717,Veere,0.001847757,0.281493406
290,GM0861,Veldhoven,0.527408688,0.231580306
291,GM0453,Velsen,0.316197403,0.616918697
292,GM0983,Venlo,0.739643132,0.226918843
293,GM0984,Venray,0.685810145,0.269150919
294,GM1961,Vijfheerenlanden,0.432304976,0.424413955
295,GM0622,Vlaardingen,0.232578164,0.423253694
296,GM0096,Vlieland,0.409536406,0.913861952
297,GM0718,Vlissingen,0.026306714,0.25578943
298,GM0986,Voerendaal,0.675269357,0.034639289
299,GM0626,Voorschoten,0.264738639,0.497717613
300,GM0285,Voorst,0.718190052,0.538281246
301,GM0865,Vught,0.483882674,0.321459941
302,GM1949,Waadhoeke,0.58413334,0.904351556
303,GM0866,Waalre,0.547992467,0.223477696
304,GM0867,Waalwijk,0.422787601,0.334981793
305,GM0627,Waddinxveen,0.319736806,0.467273158
306,GM0289,Wageningen,0.603687096,0.438534361
307,GM0629,Wassenaar,0.247553321,0.503511612
308,GM0852,Waterland,0.419459343,0.617978612
309,GM0988,Weert,0.615296304,0.16822912
310,GM1960,West Betuwe,0.472255087,0.401998467
311,GM0668,West Maas en Waal,0.556711562,0.395511623
312,GM1969,Westerkwartier,0.783884655,0.899108606
313,GM1701,Westerveld,0.776851322,0.756697098
314,GM0293,Westervoort,0.686783462,0.435723
315,GM1950,Westerwolde,1,0.823105812
316,GM1783,Westland,0.19836062,0.452137893
317,GM0098,Weststellingwerf,0.694428684,0.772258329
318,GM0189,Wierden,0.843231687,0.578808421
319,GM0296,Wijchen,0.6116552,0.383836584
320,GM1696,Wijdemeren,0.44413156,0.533361131
321,GM0352,Wijk bij Duurstede,0.50984133,0.446666592
322,GM0294,Winterswijk,0.899843604,0.44098484
323,GM0873,Woensdrecht,0.228895745,0.234329596
324,GM0632,Woerden,0.390005006,0.492176152
325,GM0880,Wormerland,0.381579566,0.636928391
326,GM0351,Woudenberg,0.532671823,0.479631419
327,GM0353,IJsselstein,0.426709054,0.459849015
328,GM0479,Zaanstad,0.357837519,0.623495811
329,GM0297,Zaltbommel,0.470963705,0.369793408
330,GM0473,Zandvoort,0.29411079,0.583050251
331,GM0050,Zeewolde,0.540063407,0.578192563
332,GM0355,Zeist,0.488459111,0.492411738
333,GM0299,Zevenaar,0.717244403,0.424239354
334,GM0637,Zoetermeer,0.277173635,0.474246784
335,GM0638,Zoeterwoude,0.28243845,0.493238259
336,GM1892,Zuidplas,0.31164423,0.450765682
337,GM0879,Zundert,0.320683786,0.261227455
338,GM0301,Zutphen,0.761387522,0.498711582
339,GM1896,Zwartewaterland,0.705620238,0.675736551
340,GM0642,Zwijndrecht,0.311033908,0.386186456
341,GM0193,Zwolle,0.720182908,0.640549514
